Id,date,boil_current_level
1,1423282027.76811,1224.0
2,1423282029.03013,1225.0
3,1423282030.06698,1223.0
4,1423282031.10201,1224.0
5,1423282032.13891,1224.0
6,1423282033.17435,1227.0
7,1423282035.63836,1224.0
8,1423282036.67698,1225.0
9,1423282041.74896,1226.0
10,1423282042.78419,1225.0
11,1423282044.15133,1225.0
12,1423282047.32004,1226.0
13,1423282048.35705,1223.0
14,1423282049.47192,1227.0
15,1423282054.54562,1224.0
16,1423282055.58041,1224.0
17,1423282056.67052,1224.0
18,1423282057.88487,1224.0
19,1423282060.05236,1225.0
20,1423282061.51814,1226.0
21,1423282062.73435,1223.0
22,1423282063.83096,1227.0
23,1423282065.29806,1224.0
24,1423282066.66427,1226.0
25,1423282068.13131,1222.0
26,1423282069.3465,1224.0
27,1423282070.42372,1224.0
28,1423282071.53806,1227.0
29,1423282073.62174,1224.0
30,1423282074.65673,1226.0
31,1423282075.72729,1224.0
32,1423282077.09156,1226.0
33,1423282078.55834,1222.0
34,1423282079.60377,1227.0
35,1423282080.64039,1223.0
36,1423282081.90465,1226.0
37,1423282083.07101,1224.0
38,1423282084.10635,1226.0
39,1423282085.47388,1224.0
40,1423282086.56284,1225.0
41,1423282088.02981,1224.0
42,1423282089.06602,1227.0
43,1423282090.10104,1225.0
44,1423282091.21736,1225.0
45,1423282092.58165,1223.0
46,1423282093.61792,1225.0
47,1423282094.98501,1226.0
48,1423282096.25281,1228.0
49,1423282097.62271,1224.0
50,1423282098.68106,1226.0
51,1423282099.94863,1222.0
52,1423282101.41849,1224.0
53,1423282102.45748,1225.0
54,1423282103.49494,1225.0
55,1423282104.86627,1226.0
56,1423282106.08276,1228.0
57,1423282107.24906,1224.0
58,1423282108.29063,1224.0
59,1423282109.38106,1226.0
60,1423282110.74693,1227.0
61,1423282112.11299,1224.0
62,1423282113.47924,1225.0
63,1423282114.51611,1226.0
64,1423282115.63132,1225.0
65,1423282116.74778,1225.0
66,1423282117.78231,1226.0
67,1423282119.14921,1224.0
68,1423282120.26549,1226.0
69,1423282121.30225,1222.0
70,1423282122.7715,1227.0
71,1423282123.80812,1224.0
72,1423282125.17535,1224.0
73,1423282126.69688,1226.0
74,1423282127.78868,1225.0
75,1423282129.15834,1223.0
76,1423282130.29847,1227.0
77,1423282131.33688,1224.0
78,1423282132.70329,1226.0
79,1423282133.97128,1222.0
80,1423282135.00718,1224.0
81,1423282136.27558,1226.0
82,1423282137.31065,1225.0
83,1423282138.40243,1226.0
84,1423282139.77585,1226.0
85,1423282140.81426,1223.0
86,1423282141.97952,1227.0
87,1423282143.04662,1224.0
88,1423282144.31392,1225.0
89,1423282145.36938,1224.0
90,1423282146.40493,1225.0
91,1423282147.44213,1226.0
92,1423282148.65756,1225.0
93,1423282149.69428,1223.0
94,1423282150.76447,1224.0
95,1423282151.88401,1226.0
96,1423282153.63331,1228.0
97,1423282155.00141,1224.0
98,1423282156.03765,1224.0
99,1423282157.20895,1225.0
100,1423282158.29806,1225.0
101,1423282159.33491,1223.0
102,1423282160.60125,1225.0
103,1423282161.96943,1223.0
104,1423282163.00459,1227.0
105,1423282164.30668,1224.0
106,1423282165.34752,1224.0
107,1423282166.38431,1224.0
108,1423282167.53492,1224.0
109,1423282168.90175,1226.0
110,1423282170.37064,1225.0
111,1423282171.73819,1224.0
112,1423282172.77354,1226.0
113,1423282174.14109,1224.0
114,1423282175.23322,1226.0
115,1423282176.70015,1224.0
116,1423282177.81695,1225.0
117,1423282178.85464,1226.0
118,1423282180.2264,1225.0
119,1423282181.367,1224.0
120,1423282182.4038,1225.0
121,1423282183.62225,1223.0
122,1423282184.88866,1226.0
123,1423282185.92499,1222.0
124,1423282187.198,1227.0
125,1423282188.31464,1224.0
126,1423282189.34996,1225.0
127,1423282190.56855,1226.0
128,1423282191.78357,1225.0
129,1423282192.82093,1223.0
130,1423282194.38807,1227.0
131,1423282195.60809,1224.0
132,1423282196.64387,1228.0
133,1423282197.78803,1222.0
134,1423282198.87781,1224.0
135,1423282200.52635,1226.0
136,1423282201.89425,1225.0
137,1423282203.20569,1225.0
138,1423282204.24327,1226.0
139,1423282205.46289,1224.0
140,1423282206.60722,1226.0
141,1423282207.64473,1222.0
142,1423282209.01016,1225.0
143,1423282210.22654,1224.0
144,1423282211.59348,1227.0
145,1423282212.73674,1226.0
146,1423282213.77181,1225.0
147,1423282215.141,1224.0
148,1423282216.40618,1224.0
149,1423282217.44321,1224.0
150,1423282218.5863,1227.0
151,1423282219.81171,1224.0
152,1423282220.85021,1227.0
153,1423282222.06692,1224.0
154,1423282223.10217,1225.0
155,1423282224.1393,1224.0
156,1423282225.17487,1226.0
157,1423282226.44112,1224.0
158,1423282227.47845,1226.0
159,1423282228.53628,1222.0
160,1423282229.70706,1227.0
161,1423282230.74314,1223.0
162,1423282231.88289,1224.0
163,1423282233.05098,1226.0
164,1423282234.08815,1226.0
165,1423282235.36115,1224.0
166,1423282236.54836,1225.0
167,1423282237.59134,1226.0
168,1423282238.71015,1227.0
169,1423282239.80253,1224.0
170,1423282240.84361,1225.0
171,1423282242.06202,1223.0
172,1423282243.32988,1225.0
173,1423282244.3695,1223.0
174,1423282245.63435,1225.0
